,Cluster,estimators,learning rate,Time,Accuracy
1525,0.0,150.0,0.5,593.4104604721069,0.7512529675547349
1526,1.0,150.0,1.0,455.6573021411896,0.7660371386368432
1532,2.0,150.0,1.5,2381.9786880016327,0.7735217464074792
1527,3.0,150.0,1.0,392.20049381256104,0.7568553377190126
1533,4.0,150.0,1.5,4047.2299699783325,0.775755503774145
1528,5.0,150.0,0.5,170.77504897117615,0.740344424009363
1529,6.0,150.0,1.0,1686.7587671279907,0.7896595057147986
1530,7.0,150.0,0.5,116.15811395645142,0.8226032190342897
